first_name,last_name,location,linkedin,email,current_title_and_company,prior_title_and_company,school_and_degree,climate_interest_reason,created_at,status,internal_notes
Ethan,Thomas,Remote,https://linkedin.com/in/ethanthomas,ethomas@outlook.com,Shopify,Technical Co-founder at Microsoft,,I want to meet interesting people.,2026-01-23T22:12:19Z,accepted,
Keiko,Martinez,Denver,https://linkedin.com/in/keikomartinez,keikomartinez@protonmail.com,Recruiter at Consulting Firm,,Harvard - Economics,Looking to build relationships with founders who will need early hires.,2026-01-27T23:23:18Z,applied,Probably not serious.
Rohan,Moore,CA,https://linkedin.com/in/rohanmoore,rohan.moore@outlook.com,Business Development @ Family Office,Coinbase,Stanford - CS,Considering building something but still ideating.,2026-02-03T00:47:45Z,applied,
Rohan,Davis,CA,https://linkedin.com/in/rohandavis,rohandavis@gmail.com,AI Researcher @ University,AI Researcher at University,NYU - Marketing,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-25T18:56:22Z,applied,
Sophia,Hall,Paris,https://linkedin.com/in/sophiahall,sophiahall@outlook.com,AI Researcher at Microsoft,,Cambridge - Engineering,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-02-11T15:54:42Z,applied,
Keiko,Brown,TX,https://linkedin.com/in/keikobrown,keiko640@protonmail.com,Airbnb,Backend Engineer,High School Senior,Trying to figure out if climate tech is where I should build my career.,2026-02-10T15:36:42Z,applied,
Jun,Lee,MA,https://linkedin.com/in/junlee,jlee@yahoo.com,Student @ University,AI Researcher @ Shopify,Cambridge - Engineering,Trying to figure out if climate tech is where I should build my career.,2026-01-13T00:49:34Z,applied,
Marcus,Moore,"San Francisco, CA",https://linkedin.com/in/marcusmoore,mmoore@outlook.com,Full Stack Engineer @ University,Coinbase,Community College,I'm a technical founder exploring climate SaaS opportunities.,2026-01-30T18:05:00Z,confirmed,VC attendee.
Anika,Thompson,IL,,anika643@protonmail.com,Business Development at Stripe,Full Stack Engineer at Self-employed,Harvard - Economics,Just curious about the startup scene.,2026-01-19T20:28:26Z,accepted,Operator profile.
Sienna,Adams,CO,https://linkedin.com/in/siennaadams,sadams@gmail.com,Amazon,Product Manager (non-technical) @ Early-stage startup,NYU - Marketing,Just curious about the startup scene.,2026-01-19T08:25:52Z,applied,Student exploring.
Mason,Ramirez,WA,,masonramirez@protonmail.com,Data Scientist at Self-employed,Community Lead at Google,NYU - Marketing,I'm a technical founder exploring climate SaaS opportunities.,2026-01-07T14:53:56Z,applied,
Rohan,Torres,Los Angeles,https://linkedin.com/in/rohantorres,rohantorres@outlook.com,AI Researcher @ Microsoft,,Harvard - Economics,I'm a technical founder exploring climate SaaS opportunities.,2026-01-28T18:30:57Z,applied,Student exploring.
Daniel,Taylor,London,https://linkedin.com/in/danieltaylor,daniel647@outlook.com,Community Lead @ Consulting Firm,Operations Manager at Stripe,Stanford - CS,Exploring whether climate is a space worth committing to.,2026-01-22T12:27:03Z,confirmed,
Sofia,Patel,"San Francisco, CA",https://linkedin.com/in/sofiapatel,sofiapatel@gmail.com,Recruiter @ Consulting Firm,,High School Senior,Just expanding my network.,2026-01-13T11:25:43Z,applied,
Amir,Walker,Austin TX,https://linkedin.com/in/amirwalker,amir.walker@yahoo.com,Microsoft,Chief of Staff at Stripe,NYU - Marketing,I want to meet interesting people.,2026-02-19T00:23:09Z,applied,
Hannah,Robinson,Berlin,https://linkedin.com/in/hannahrobinson,hannah650@yahoo.com,Student @ Airbnb,Business Development at Google,,I don't have a concrete idea yet but want exposure.,2026-01-11T12:29:33Z,applied,
Eli,Chen,New York,https://linkedin.com/in/elichen,echen@gmail.com,Recruiter,,,Looking to build relationships with founders who will need early hires.,2026-01-09T16:04:31Z,applied,
Mateo,Lewis,NYC,https://linkedin.com/in/mateolewis,mlewis@outlook.com,Marketing Manager,Startup Founder (exploring) @ Consulting Firm,Oxford - PPE,Considering building something but still ideating.,2026-01-21T19:37:52Z,applied,Probably not serious.
Lily,Turner,"San Francisco, CA",,lily.turner@gmail.com,Full Stack Engineer,Early-stage startup,Oxford - PPE,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-10T12:53:17Z,applied,
Sophia,Green,New York,https://linkedin.com/in/sophiagreen,sgreen@yahoo.com,ML Engineer,Community Lead @ Stripe,NYU - Marketing,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-20T03:28:51Z,accepted,
Theo,Patel,Los Angeles,https://linkedin.com/in/theopatel,theo.patel@outlook.com,Startup Founder (exploring),,NYU - Marketing,Considering building something but still ideating.,2026-02-16T19:38:03Z,applied,
Sandeep,Wilson,Seattle,,swilson@protonmail.com,CTO @ Consulting Firm,AI Researcher @ Early-stage startup,Oxford - PPE,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-09T05:50:44Z,accepted,
Claire,Hall,CO,https://linkedin.com/in/clairehall,clairehall@protonmail.com,AI Researcher at Self-employed,VC Fund,Community College,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-20T23:00:01Z,applied,
Taylor,Martinez,CA,https://linkedin.com/in/taylormartinez,taylor658@yahoo.com,Community Lead,CTO,Cambridge - Engineering,Considering building something but still ideating.,2026-01-13T14:41:07Z,applied,Student exploring.
Sienna,Carter,Remote,https://linkedin.com/in/siennacarter,sienna659@outlook.com,Chief of Staff,Software Engineer @ Self-employed,MIT - Engineering,I’ve scaled operations at startups and want to understand hardware-heavy climate companies.,2026-02-22T10:34:01Z,applied,
Sophia,Hill,Bay Area,,sophiahill@yahoo.com,Full Stack Engineer @ Early-stage startup,Software Engineer @ Google,State University - Business,Curious whether distributed systems problems show up in climate infra.,2026-01-10T17:30:51Z,applied,
Anika,Turner,Seattle,,anika.turner@yahoo.com,Business Development @ University,Recruiter @ Microsoft,State University - Business,Considering building something but still ideating.,2026-01-11T01:31:34Z,applied,
Riley,Martinez,LA,https://linkedin.com/in/rileymartinez,riley.martinez@outlook.com,Recruiter at Airbnb,ML Engineer @ Nonprofit,MIT - Engineering,Just expanding my network.,2026-01-10T17:23:59Z,applied,Operator profile.
Sienna,Adams,Miami,https://linkedin.com/in/siennaadams,sienna663@protonmail.com,Chief of Staff @ Shopify,,,Exploring operator roles in mission-driven startups.,2026-01-18T04:21:27Z,accepted,Likely strong founder.
Mateo,Young,Paris,,myoung@outlook.com,Operations Manager @ Family Office,Venture Associate at Family Office,NYU - Marketing,Exploring operator roles in mission-driven startups.,2026-02-15T17:06:39Z,applied,
Theo,Moore,Berlin,https://linkedin.com/in/theomoore,theomoore@protonmail.com,Nonprofit,,Oxford - PPE,Exploring whether climate is a space worth committing to.,2026-01-19T06:43:33Z,applied,
Jamie,Patel,Denver,,jamie666@protonmail.com,Chief of Staff at Coinbase,,MIT - Engineering,I’ve scaled operations at startups and want to understand hardware-heavy climate companies.,2026-01-07T08:26:37Z,applied,Probably not serious.
Rohan,Kim,IL,https://linkedin.com/in/rohankim,rohankim@protonmail.com,Marketing Manager @ Shopify,,Community College,I want to meet interesting people.,2026-02-16T02:41:44Z,confirmed,VC attendee.
Lucas,Wright,Denver,https://linkedin.com/in/lucaswright,lwright@protonmail.com,Community Lead,Stealth,NYU - Marketing,I want to meet interesting people.,2026-02-07T01:01:02Z,applied,
Valeria,Thomas,Boston,https://linkedin.com/in/valeriathomas,vthomas@protonmail.com,AI Researcher @ Airbnb,Startup Founder (exploring) at Airbnb,Community College,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-08T19:27:46Z,applied,
Valeria,Turner,Remote,https://linkedin.com/in/valeriaturner,vturner@yahoo.com,Technical Co-founder @ Self-employed,,Stanford - CS,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-10T00:44:32Z,applied,VC attendee.
Marcus,Wright,Paris,https://linkedin.com/in/marcuswright,marcuswright@outlook.com,Operations Manager at Coinbase,Policy Analyst @ University,High School Senior,I don't have a concrete idea yet but want exposure.,2026-01-19T02:20:40Z,applied,
Taylor,Singh,CA,https://linkedin.com/in/taylorsingh,taylor.singh@protonmail.com,Community Lead @ Amazon,Marketing Manager @ Microsoft,,I want to meet interesting people.,2026-01-06T00:48:53Z,applied,
Ethan,Brown,Paris,https://linkedin.com/in/ethanbrown,ethan.brown@protonmail.com,Sales Director @ Consulting Firm,,NYU - Marketing,Exploring whether climate is a space worth committing to.,2026-01-13T19:52:44Z,applied,
Diego,Green,USA,https://linkedin.com/in/diegogreen,diego674@outlook.com,Technical Co-founder @ Amazon,,State University - Business,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-03T01:27:46Z,applied,
Elena,Edwards,CO,,elena675@gmail.com,Operations Manager at Early-stage startup,Startup Founder (exploring) @ Self-employed,UCLA - Design,Curious about supply chain and deployment challenges in climate.,2026-01-21T15:09:35Z,applied,
Becca,Parker,Berlin,,beccaparker@gmail.com,Business Development @ Consulting Firm,ML Engineer @ Early-stage startup,Stanford - CS,Just curious about the startup scene.,2026-02-05T01:03:04Z,applied,
Theo,Perez,Canada,,theo.perez@outlook.com,Sales Director,Talent Lead,MIT - Engineering,I want to meet interesting people.,2026-02-13T16:21:12Z,applied,
Logan,Thomas,Bay Area,https://linkedin.com/in/loganthomas,logan.thomas@protonmail.com,Policy Analyst at Self-employed,CTO,Cambridge - Engineering,I want to meet interesting people.,2026-01-23T20:19:24Z,confirmed,
Lucas,Mehta,CA,,lucas.mehta@yahoo.com,Marketing Manager @ Shopify,Software Engineer @ Family Office,MIT - Engineering,I want to meet interesting people.,2026-01-15T02:14:38Z,applied,
Becca,Green,IL,https://linkedin.com/in/beccagreen,bgreen@yahoo.com,Full Stack Engineer,,MIT - Engineering,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-31T01:39:00Z,declined,
Liam,Brown,SF,https://linkedin.com/in/liambrown,liambrown@protonmail.com,Technical Co-founder at Airbnb,,,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-02T19:35:21Z,applied,
Eli,Lopez,MA,,elilopez@outlook.com,Coinbase,Software Engineer @ Microsoft,UCLA - Design,Just curious about the startup scene.,2026-01-05T04:52:25Z,accepted,
Amir,Brown,Seattle,,abrown@protonmail.com,Full Stack Engineer,CTO,MIT - Engineering,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-25T18:18:32Z,accepted,
Sienna,Young,Denver,https://linkedin.com/in/siennayoung,syoung@gmail.com,Chief of Staff at Shopify,Community Lead @ Consulting Firm,Community College,"Not sure yet, just checking out the ecosystem.",2026-01-17T17:47:36Z,applied,
Ivy,Brown,LA,https://linkedin.com/in/ivybrown,ivy.brown@protonmail.com,Data Scientist at University,,,I'm a technical founder exploring climate SaaS opportunities.,2026-02-15T06:20:20Z,applied,
Riley,Davis,Chicago,https://linkedin.com/in/rileydavis,riley686@yahoo.com,Business Development at Self-employed,,State University - Business,I want to meet interesting people.,2026-01-19T17:20:34Z,applied,Operator profile.
Sam,Mehta,London,https://linkedin.com/in/sammehta,sam687@gmail.com,Venture Associate,Technical Co-founder @ Amazon,MIT - Engineering,"Honestly, I just like meeting founders and seeing what people are building.",2026-01-30T16:23:18Z,applied,VC attendee.
Ivy,Wilson,Bay Area,,iwilson@protonmail.com,Talent Lead @ Stealth,Full Stack Engineer @ Stealth,,I recruit for startups and want to understand what climate companies need.,2026-01-15T08:28:14Z,accepted,
Claire,Campbell,CO,https://linkedin.com/in/clairecampbell,clairecampbell@outlook.com,Software Engineer @ Coinbase,Amazon,High School Senior,I'm a technical founder exploring climate SaaS opportunities.,2026-02-16T10:52:29Z,applied,Operator profile.
Anika,Taylor,WA,,anikataylor@gmail.com,Software Engineer at University,,,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-02-06T22:41:06Z,applied,Operator profile.
Jun,Davis,,https://linkedin.com/in/jundavis,jun.davis@protonmail.com,Backend Engineer @ Consulting Firm,,Community College,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-27T03:03:04Z,applied,
Valeria,Stewart,Los Angeles,https://linkedin.com/in/valeriastewart,valeriastewart@protonmail.com,Student at Airbnb,,Stanford - CS,I don't have a concrete idea yet but want exposure.,2026-01-03T23:47:01Z,applied,
Becca,Chen,,,bchen@yahoo.com,Sales Director at VC Fund,Airbnb,Harvard - Economics,I want to meet interesting people.,2026-01-09T09:46:50Z,applied,
Maya,Ramirez,IL,,mramirez@protonmail.com,Backend Engineer @ Stripe,Data Scientist at Stealth,Stanford - CS,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-03T13:04:52Z,declined,Probably not serious.
Sofia,Lewis,FL,https://linkedin.com/in/sofialewis,sofialewis@protonmail.com,Startup Founder (exploring) @ Stealth,,High School Senior,Mostly here to learn and see what people are working on.,2026-02-19T03:55:01Z,applied,
Emma,Kim,"San Francisco, CA",https://linkedin.com/in/emmakim,emma696@protonmail.com,Technical Co-founder @ Microsoft,,Harvard - Economics,Curious whether distributed systems problems show up in climate infra.,2026-01-08T06:09:01Z,applied,Operator profile.
Lucas,Hernandez,Paris,https://linkedin.com/in/lucashernandez,lucas697@yahoo.com,Business Development,,MIT - Engineering,Considering building something but still ideating.,2026-01-30T02:30:56Z,applied,
Elena,Johnson,Toronto,,elenajohnson@outlook.com,Business Development at VC Fund,VC Fund,MIT - Engineering,Exploring whether climate is a space worth committing to.,2026-02-20T16:20:06Z,accepted,
Daniel,Lopez,Bay Area,https://linkedin.com/in/daniellopez,daniellopez@outlook.com,Student @ University,Technical Co-founder @ University,NYU - Marketing,Trying to figure out if climate tech is where I should build my career.,2026-02-06T21:49:48Z,applied,
Sandeep,Phillips,MA,https://linkedin.com/in/sandeepphillips,sandeep700@yahoo.com,Student @ Consulting Firm,,Community College,Mostly here to learn and see what people are working on.,2026-02-11T11:38:05Z,confirmed,
Priya,Adams,WA,https://linkedin.com/in/priyaadams,padams@outlook.com,Chief of Staff @ Family Office,,MIT - Engineering,I’ve scaled operations at startups and want to understand hardware-heavy climate companies.,2026-02-12T00:02:38Z,accepted,
Aiden,Robinson,Seattle,https://linkedin.com/in/aidenrobinson,aidenrobinson@outlook.com,Technical Co-founder,Business Development,MIT - Engineering,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-02-11T09:00:14Z,applied,Probably not serious.
Daniel,Walker,TX,,dwalker@yahoo.com,Policy Analyst at Consulting Firm,Angel Investor at VC Fund,NYU - Marketing,I want to meet interesting people.,2026-01-03T17:46:49Z,accepted,
Sara,Scott,CA,https://linkedin.com/in/sarascott,sara.scott@gmail.com,Angel Investor @ Self-employed,Student,UCLA - Design,I invest in early-stage startups and want to meet serious technical climate founders.,2026-01-13T20:12:31Z,applied,
Diego,Taylor,Paris,https://linkedin.com/in/diegotaylor,dtaylor@yahoo.com,Recruiter,,MIT - Engineering,Exploring whether climate companies hire differently.,2026-01-12T17:37:26Z,applied,
Chloe,Scott,Seattle,https://linkedin.com/in/chloescott,chloe706@outlook.com,MBA Candidate at Nonprofit,Marketing Manager @ Coinbase,Oxford - PPE,Considering building something but still ideating.,2026-01-12T09:22:27Z,applied,Probably not serious.
Mason,Scott,Bay Area,,mason.scott@gmail.com,Full Stack Engineer,Full Stack Engineer @ Microsoft,UCLA - Design,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-02-19T18:38:42Z,accepted,
Jackson,Johnson,NYC,https://linkedin.com/in/jacksonjohnson,jackson708@yahoo.com,CTO at Stealth,Business Development,Harvard - Economics,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-02-10T08:14:48Z,accepted,
Sienna,Taylor,Denver,https://linkedin.com/in/siennataylor,sienna.taylor@gmail.com,Nonprofit,,MIT - Engineering,I want to meet interesting people.,2026-02-16T01:29:18Z,applied,
Valeria,Taylor,IL,,valeriataylor@outlook.com,Venture Associate @ Early-stage startup,,,Exploring a new climate thesis around industrial decarbonization.,2026-01-14T20:29:47Z,applied,VC attendee.
Maya,Collins,Seattle,,maya.collins@protonmail.com,CTO,Google,MIT - Engineering,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-02-06T21:47:08Z,accepted,Likely strong founder.
Marcus,Edwards,CA,https://linkedin.com/in/marcusedwards,marcus712@outlook.com,Talent Lead at Stealth,ML Engineer at Stealth,State University - Business,Just expanding my network.,2026-01-11T17:35:08Z,applied,
Camila,Martinez,"San Francisco, CA",https://linkedin.com/in/camilamartinez,cmartinez@outlook.com,Sales Director @ Airbnb,Community Lead,Harvard - Economics,Just curious about the startup scene.,2026-01-01T13:42:33Z,accepted,
Sophia,Mitchell,New York,,sophia714@gmail.com,Startup Founder (exploring) at VC Fund,,,Considering building something but still ideating.,2026-01-13T19:31:01Z,applied,
Sophia,Collins,Boston,https://linkedin.com/in/sophiacollins,sophia.collins@protonmail.com,Product Manager (non-technical),Sales Director at Microsoft,Oxford - PPE,I want to meet interesting people.,2026-01-26T09:49:59Z,applied,
Lily,Thompson,Bay Area,https://linkedin.com/in/lilythompson,lily.thompson@gmail.com,Early-stage startup,Venture Associate @ Stripe,,I want to meet interesting people.,2026-01-22T03:42:56Z,applied,
Casey,Clark,Berlin,https://linkedin.com/in/caseyclark,casey.clark@yahoo.com,Marketing Manager at Coinbase,,MIT - Engineering,Exploring whether climate is a space worth committing to.,2026-01-20T03:54:53Z,applied,
Amir,Allen,MA,,amir.allen@protonmail.com,MBA Candidate at Microsoft,,NYU - Marketing,I want to meet interesting people.,2026-02-08T04:39:24Z,applied,
Camila,Mitchell,Austin TX,,camilamitchell@yahoo.com,AI Researcher,,High School Senior,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-02-13T05:13:25Z,applied,
Mateo,Edwards,CO,https://linkedin.com/in/mateoedwards,medwards@yahoo.com,CTO @ Shopify,Recruiter at Early-stage startup,High School Senior,I'm a technical founder exploring climate SaaS opportunities.,2026-02-12T03:31:00Z,applied,
Leo,Parker,Austin TX,,leo721@protonmail.com,Recruiter at University,ML Engineer at Consulting Firm,Stanford - CS,I recruit for startups and want to understand what climate companies need.,2026-01-14T21:43:51Z,applied,
Omar,Thomas,Paris,https://linkedin.com/in/omarthomas,omar.thomas@outlook.com,Venture Associate @ Consulting Firm,,NYU - Marketing,I invest in early-stage startups and want to meet serious technical climate founders.,2026-02-19T20:39:47Z,applied,
Kiran,Nelson,FL,,kiran.nelson@gmail.com,Business Development @ Self-employed,Startup Founder (exploring) @ VC Fund,Oxford - PPE,Just curious about the startup scene.,2026-02-07T17:48:08Z,applied,
Rohan,Hernandez,Berlin,https://linkedin.com/in/rohanhernandez,rohan724@outlook.com,Business Development @ Coinbase,ML Engineer @ Microsoft,Oxford - PPE,Exploring whether climate is a space worth committing to.,2026-01-19T09:08:00Z,confirmed,VC attendee.
Camila,Allen,USA,https://linkedin.com/in/camilaallen,camila725@gmail.com,VC Fund,,Cambridge - Engineering,Exploring whether climate is a space worth committing to.,2026-01-10T01:12:36Z,confirmed,
Olivia,Adams,Toronto,https://linkedin.com/in/oliviaadams,olivia.adams@gmail.com,Recruiter at Amazon,,Stanford - CS,Just expanding my network.,2026-02-16T19:22:59Z,applied,
Kiran,King,USA,https://linkedin.com/in/kiranking,kiran.king@outlook.com,Startup Founder (exploring) @ Nonprofit,Chief of Staff @ Microsoft,Cambridge - Engineering,Just curious about the startup scene.,2026-01-02T06:30:37Z,applied,
Diego,Chen,SF,https://linkedin.com/in/diegochen,diegochen@protonmail.com,Community Lead @ Shopify,,Community College,Exploring whether climate is a space worth committing to.,2026-02-17T05:14:05Z,accepted,
Mei,Anderson,FL,https://linkedin.com/in/meianderson,mei.anderson@outlook.com,Data Scientist @ Nonprofit,,Harvard - Economics,I'm a technical founder exploring climate SaaS opportunities.,2026-02-07T05:31:32Z,applied,
Sofia,Chen,MA,,sofia730@outlook.com,Recruiter @ Amazon,Operations Manager,Oxford - PPE,Looking to build relationships with founders who will need early hires.,2026-01-31T22:33:12Z,confirmed,
Logan,Torres,"San Francisco, CA",https://linkedin.com/in/logantorres,logan731@protonmail.com,Venture Associate,,Stanford - CS,I heard there would be good snacks and interesting conversations.,2026-02-09T15:13:18Z,confirmed,
Sofia,Davis,SF,https://linkedin.com/in/sofiadavis,sofia732@gmail.com,Community Lead at Airbnb,Business Development @ VC Fund,Oxford - PPE,I want to meet interesting people.,2026-02-01T07:45:34Z,confirmed,
Noor,Parker,USA,https://linkedin.com/in/noorparker,noor733@yahoo.com,Student,,Oxford - PPE,Trying to figure out if climate tech is where I should build my career.,2026-02-18T21:21:15Z,applied,
Zoe,Campbell,TX,https://linkedin.com/in/zoecampbell,zoecampbell@outlook.com,Student @ Airbnb,,MIT - Engineering,I'm exploring startup careers and curious about climate.,2026-01-09T10:41:23Z,confirmed,
Aisha,Turner,LA,https://linkedin.com/in/aishaturner,aisha.turner@protonmail.com,Technical Co-founder @ Shopify,Software Engineer @ Self-employed,Harvard - Economics,Curious whether distributed systems problems show up in climate infra.,2026-01-16T13:17:56Z,applied,
Omar,Collins,New York,https://linkedin.com/in/omarcollins,omar736@protonmail.com,Stripe,,Harvard - Economics,I want to meet interesting people.,2026-01-27T10:34:21Z,applied,
Theo,Anderson,Miami,https://linkedin.com/in/theoanderson,theo737@gmail.com,Technical Co-founder @ VC Fund,Full Stack Engineer @ University,Oxford - PPE,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-18T20:42:03Z,applied,
Noah,Gonzalez,NYC,https://linkedin.com/in/noahgonzalez,ngonzalez@yahoo.com,AI Researcher @ Amazon,,UCLA - Design,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-06T21:00:32Z,applied,
Claire,Hernandez,Berlin,https://linkedin.com/in/clairehernandez,claire739@outlook.com,Software Engineer at Self-employed,Policy Analyst @ Self-employed,State University - Business,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-02-05T15:10:41Z,applied,
Aisha,Thomas,Toronto,https://linkedin.com/in/aishathomas,aisha740@yahoo.com,Community Lead @ Coinbase,,State University - Business,Considering building something but still ideating.,2026-01-22T17:29:31Z,applied,
Noah,Hernandez,Paris,,noahhernandez@outlook.com,MBA Candidate @ Airbnb,CTO,,Considering building something but still ideating.,2026-02-12T02:51:21Z,confirmed,
Yuki,Gonzalez,IL,https://linkedin.com/in/yukigonzalez,yukigonzalez@gmail.com,Product Manager (non-technical),Student at Coinbase,High School Senior,Trying to figure out if climate tech is where I should build my career.,2026-01-27T12:30:48Z,applied,
Aiden,Moore,FL,https://linkedin.com/in/aidenmoore,aiden.moore@gmail.com,MBA Candidate @ Shopify,Business Development at Airbnb,NYU - Marketing,Exploring whether climate is a space worth committing to.,2026-02-22T00:03:01Z,accepted,Likely strong founder.
Valeria,Lee,Remote,https://linkedin.com/in/valerialee,valeria744@protonmail.com,Marketing Manager at Shopify,,UCLA - Design,Considering building something but still ideating.,2026-02-14T05:44:16Z,applied,
Sophia,Allen,Miami,https://linkedin.com/in/sophiaallen,sophia.allen@protonmail.com,Family Office,Product Manager (non-technical),Cambridge - Engineering,Considering building something but still ideating.,2026-01-13T09:22:02Z,confirmed,Likely strong founder.
Mason,Mehta,"San Francisco, CA",,mason746@protonmail.com,Angel Investor @ Amazon,Policy Analyst,Cambridge - Engineering,Exploring a new climate thesis around industrial decarbonization.,2026-02-09T03:59:44Z,declined,
Jordan,Nguyen,,,jordannguyen@protonmail.com,Nonprofit,,UCLA - Design,Considering building something but still ideating.,2026-01-21T02:07:25Z,applied,Likely strong founder.
Ben,Taylor,Austin TX,https://linkedin.com/in/bentaylor,ben.taylor@protonmail.com,Data Scientist @ Google,,Cambridge - Engineering,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-03T07:14:31Z,accepted,
Omar,Phillips,IL,https://linkedin.com/in/omarphillips,omarphillips@yahoo.com,Nonprofit,Startup Founder (exploring) @ Consulting Firm,UCLA - Design,I want to meet interesting people.,2026-01-02T11:06:33Z,accepted,
Ava,Lewis,SF,https://linkedin.com/in/avalewis,avalewis@yahoo.com,Shopify,,Stanford - CS,Exploring whether climate is a space worth committing to.,2026-01-21T01:33:17Z,applied,
Riley,Walker,Los Angeles,,riley.walker@gmail.com,Sales Director @ Airbnb,,UCLA - Design,I want to meet interesting people.,2026-02-14T07:24:33Z,applied,
Rohan,Turner,Remote,https://linkedin.com/in/rohanturner,rohan.turner@protonmail.com,Backend Engineer at University,Community Lead,Harvard - Economics,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-02-01T14:07:37Z,applied,
Sofia,Davis,Paris,https://linkedin.com/in/sofiadavis,sofia.davis@gmail.com,Community Lead @ Self-employed,,MIT - Engineering,Exploring whether climate is a space worth committing to.,2026-01-18T23:36:09Z,applied,
Adam,Torres,LA,https://linkedin.com/in/adamtorres,adam.torres@yahoo.com,Student @ VC Fund,Family Office,NYU - Marketing,I don't have a concrete idea yet but want exposure.,2026-02-05T08:02:29Z,declined,
Morgan,Campbell,New York,https://linkedin.com/in/morgancampbell,morgan755@protonmail.com,Business Development at Airbnb,Operations Manager,Stanford - CS,Just curious about the startup scene.,2026-01-01T16:11:26Z,applied,
Camila,Nguyen,"San Francisco, CA",https://linkedin.com/in/camilanguyen,camila756@outlook.com,AI Researcher,Business Development at Self-employed,,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-03T12:54:54Z,accepted,
Jordan,Kim,New York,https://linkedin.com/in/jordankim,jkim@protonmail.com,Sales Director @ University,Venture Associate at Stealth,Oxford - PPE,Just curious about the startup scene.,2026-01-08T09:28:10Z,applied,
Hannah,Baker,SF,,hannahbaker@gmail.com,Recruiter @ Coinbase,Sales Director @ Coinbase,Cambridge - Engineering,Exploring whether climate companies hire differently.,2026-02-19T15:55:45Z,accepted,
Keiko,Stewart,TX,https://linkedin.com/in/keikostewart,keiko759@yahoo.com,Backend Engineer at Nonprofit,,Harvard - Economics,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-29T00:20:13Z,applied,
Lily,Davis,Los Angeles,,lily760@protonmail.com,Coinbase,Operations Manager @ Stealth,Oxford - PPE,Exploring whether climate is a space worth committing to.,2026-01-12T05:18:05Z,declined,
Theo,Moore,Paris,https://linkedin.com/in/theomoore,theo761@yahoo.com,Technical Co-founder @ Self-employed,,High School Senior,I'm a technical founder exploring climate SaaS opportunities.,2026-02-22T07:20:57Z,confirmed,Likely strong founder.
Grace,Mitchell,Boston,https://linkedin.com/in/gracemitchell,gracemitchell@yahoo.com,Recruiter at Airbnb,,High School Senior,Just expanding my network.,2026-02-10T20:09:16Z,applied,
Anika,Torres,LA,https://linkedin.com/in/anikatorres,anikatorres@outlook.com,Technical Co-founder @ Airbnb,Sales Director @ Google,Oxford - PPE,I'm a technical founder exploring climate SaaS opportunities.,2026-01-10T03:16:54Z,applied,
Grace,Johnson,Miami,https://linkedin.com/in/gracejohnson,gracejohnson@protonmail.com,Data Scientist @ VC Fund,Family Office,High School Senior,Curious whether distributed systems problems show up in climate infra.,2026-01-14T17:12:34Z,applied,
Liam,Taylor,TX,https://linkedin.com/in/liamtaylor,liam.taylor@outlook.com,University,Full Stack Engineer at Google,MIT - Engineering,Considering building something but still ideating.,2026-01-29T10:50:18Z,applied,
Keiko,Parker,LA,https://linkedin.com/in/keikoparker,keiko.parker@gmail.com,Technical Co-founder @ Stripe,Marketing Manager @ Self-employed,,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-20T07:16:56Z,applied,Probably not serious.
Rahul,Thomas,"San Francisco, CA",https://linkedin.com/in/rahulthomas,rthomas@outlook.com,Data Scientist,Backend Engineer at Self-employed,UCLA - Design,I'm a technical founder exploring climate SaaS opportunities.,2026-01-01T22:48:33Z,applied,
